"cancer","drug","n","events","raw_scale_HR","HR_per_SD","CI_low","CI_high","firth_p"
"TCGA-MESO","Remodelin",82,73,13.99,1.717,1.324,2.222,5.49e-05
"TCGA-MESO","OF-1",82,73,13.93,2.001,1.515,2.642,1.2e-06
"TCGA-MESO","LCL161",82,73,5.22,1.484,1.148,1.909,0.00268
"TCGA-MESO","CPI-637",82,73,4.04,1.471,1.189,1.799,0.000512
"TCGA-MESO","RVX-208",82,73,6.69,1.404,1.089,1.819,0.00851
"TCGA-UVM","Serdemetan",76,33,0.05,0.475,0.324,0.69,9.42e-05
"TCGA-UVM","Tanespimycin",76,33,0.08,0.46,0.314,0.669,4.44e-05
"TCGA-UVM","Sinularin",76,33,310.38,1.801,1.282,2.536,0.000738
"TCGA-ACC","Methotrexate",70,28,0.18,0.396,0.272,0.572,1.12e-06
"TCGA-ACC","Axitinib",70,28,0.12,0.405,0.271,0.597,5.27e-06
